name,teamSize,budget,workload,importance,completionTime
Milroy Bridge to close April 17 for guardrail repairs,21,952000,manageable,8,40
Election at a glance for media,12,493000,light,2,75
The EI&R committee is counting on you!,11,185000,heavy,8,10
2018 Wellness Challenge,22,630000,heavy,8,5
Judge Ross announces retirement from District Court,10,857000,manageable,4,95
Expect delays along Grandview Drive West beginning April 9,2,212000,manageable,3,55
Sheriff's Department hiring workshop,11,384000,light,6,100
Public involvement begins on Tacoma Dome regional light rail extension,22,616000,light,6,80
Email Commute Survey,14,365000,light,2,70
Record Question,17,448000,heavy,5,35
Countywide security updates,3,811000,manageable,2,60
Sharing is caring: Consider  Vansharing,8,787000,heavy,7,70
Seeking board members to serve seniors and people with Disabilities,20,510000,heavy,10,70
Fundraiser for National Crime Victims’ Rights Week,3,663000,light,1,55
Post Economic Forecast of Recreation to OSRC webpage,19,181000,light,2,80
Decommissioned vehicles/heavy equipment posting,4,769000,manageable,9,5
council civic plus form addition,20,598000,light,5,20
Workshop explores non-traditional vacations for older adults,16,413000,heavy,1,35
"Hop on out to the Spring Egg Hunt, March 31",2,699000,light,1,80
Smoking cessation email template,10,312000,manageable,9,95
Smoking cessation awareness,4,612000,heavy,9,10
Pierce County Auditor calls for independent election observers,8,15000,light,10,85
Advance care directive workshops provide help to protect your health care decisions,13,57000,heavy,2,25
"Dammeier outlines 2017 successes, 2018 priorities in State of the County address",12,356000,light,6,20
Remind employees about Try Transit Month,20,151000,light,7,95
Spring Healthy Connection Wellness Newsletter,8,740000,light,5,45
Event form - CM Richardson web,16,405000,light,9,100
Assisting with placing an image,7,252000,light,6,90
Council Priorities Report Template,4,178000,heavy,7,90
Proclamation Photo,21,499000,heavy,4,20
Supercross racing employee discount,4,867000,manageable,4,60
Pierce County READS explores the Civil Rights Movement,11,231000,manageable,3,90
Nollmeyer Lane security improvements,4,66000,light,3,85
Employee discounts posting,11,390000,heavy,3,65
Family Bingo night at Chambers Creek Regional Park,6,97000,heavy,10,90
Pierce County communication leaders presenting at international expo,8,272000,light,9,40
Town Hall focuses on LGBTQ healthy aging in Pierce County,8,655000,heavy,1,60
Powerful tools for caregivers,12,955000,heavy,3,55
Take a sneak peak into summer activities offered by Parks and Recreation,24,362000,heavy,5,35
March is Try Transit Month: Ride and Win!,18,684000,manageable,2,65
GIS services unavailable March 11,11,114000,light,7,75
Spring brings new life,6,61000,manageable,5,95
"Flag lowering, March 1",11,208000,heavy,10,55
Applicants sought for Surface Water Management Advisory Board,20,462000,heavy,2,5
Volunteer Recognition Brunch RSVP reminder,18,720000,manageable,2,15
Retirement of Barbara Simmons,22,833000,manageable,9,40
Human Resources job opportunity,11,181000,heavy,7,55
Affordable Housing Piece,24,820000,manageable,7,45
Drug Injection Sites,21,424000,manageable,7,10
Free Advance Care Directive workshops to be held in March,25,669000,light,9,70
Retirement of Nancy Seabourne,2,701000,heavy,2,80
Sewer Division Promotional Opportunity,9,796000,heavy,3,95
Bridal Showcase offers one-stop shop for wedding planning,6,989000,light,1,85
County-City Building's new procedure for cardboard recycling,6,598000,heavy,8,60
EXEC PROC: Denise Dyer's retirement,14,61000,manageable,9,55
Council Infographic of 2018 Priorities,5,805000,manageable,2,45
Tacoma Invitational Professional Bull Riders discount tickets,25,601000,manageable,7,80
Urban Search & Rescue team available state and local deployment,18,677000,light,9,40
Denise Dyer's retirement announcement,19,39000,heavy,1,45
Council Retreat Planning,22,160000,light,4,80
Parks and Recreation,11,663000,manageable,8,5
EVENT: Volunteer Recognition certificates,20,290000,manageable,5,95
Implement Meltwater media monitoring,17,311000,heavy,3,85
Parks Branding,22,413000,manageable,3,40
Public Records Center news release,20,540000,heavy,2,5
Foothills Trail opening,10,606000,heavy,8,90
Total Compensation,12,476000,heavy,6,75
State of the County - speech,16,246000,manageable,10,45
Powerpoint budget cover graphic,23,637000,light,1,20
First Aid/CPR training classes offered,19,711000,manageable,1,10
Decommissioned vehicles and heavy equipment to be auctioned,25,973000,manageable,7,25
2017 W-2 documents available,8,452000,heavy,6,35
Assistance with posting video,17,257000,manageable,2,30
Community input sought on Purdy Creek project,9,691000,heavy,8,90
Project Tracking Tool,5,96000,manageable,4,85
SoundGRO discounts available,24,977000,heavy,3,10
Pilot change to come for Pierce County ballots,12,26000,light,10,100
Navigating Your Government-Adopt a Highway Program,24,284000,manageable,9,100
Navigating Your Government- Court System,14,726000,light,7,70
Navigating Your Government,9,559000,manageable,4,95
Navigating Your Government- Nuisance Properties,4,43000,manageable,4,20
P-Card Intranet Page,19,424000,manageable,7,30
Pam Roach Commercial Information,10,352000,manageable,6,75
Event: Volunteer Recognition letters,25,335000,manageable,8,35
JOINT PROC: Congenital Heart Defect Awareness Week,12,175000,manageable,6,100
Living and thriving with Parkinson's,9,87000,manageable,10,75
Chambers Creek Regional Park serves up dinner and musical comedy,23,392000,heavy,4,40
Parks and Recreation job opportunity,17,833000,manageable,5,90
WEB: Website URL shortcut request,20,877000,light,6,90
$25 for 25 commute winners,5,21000,heavy,3,70
Ethics Commission vacancy,13,29000,light,1,90
Brookedale Golf Course,24,96000,manageable,3,50
Update Council Committees and External Boards and Commissions,7,552000,light,5,95
Q13 Sheriff Staffing information,15,251000,light,5,95
Statement on Sheriff Staffing from Council and Executive,15,912000,light,1,65
Council Statement on Deputy McCartney Death,4,557000,manageable,10,70
Executive Statement,13,406000,heavy,10,50
Outdoor Sports and Recreation Council Webpage Update,10,12000,heavy,2,50
Sheriff's Department recruitment workshop,13,662000,manageable,6,20
Alzheimer’s/Dementia workshops,19,385000,light,3,100
Milestone Rewards launched Jan. 1,4,794000,light,4,45
Free workshop on what you need to know about reverse mortgages,25,330000,light,9,60
Still have Facilities moving bins or carts?,22,139000,light,5,15
JOINT PROC: Children's Dental Health Month,5,626000,manageable,2,35
JOINT PROC: Human Trafficking Awareness and Prevention Month,25,781000,manageable,6,90
Council Communications 2017 Infographic,18,201000,manageable,3,15
End of the Year Video,12,114000,light,10,40
Committee Selection Graphic,8,900000,light,9,35
Boat Launch Video,7,412000,manageable,4,90
District 6 Christmas Card,20,89000,heavy,8,65
7 Things to do in District 7,9,634000,manageable,10,70
Committees,11,296000,heavy,1,20
Challenge Coin,22,450000,light,7,90
Women in Leadership- Dr. Keith,7,142000,light,6,40
E-Newsletter,6,797000,heavy,6,5
Women in Leadership- Dona Ponepinto,2,100000,manageable,6,80
E-Newsletter- Homelessness,15,865000,manageable,4,50
Women In Leadership,12,744000,manageable,10,15
Talking Points,13,25000,light,5,75
E-Newsletter,18,657000,light,8,100
2020 Communications Framework,13,898000,heavy,9,70
Behavioral Health Blog,20,892000,heavy,7,65
Mayors letter edits,9,457000,light,4,85
1/10th Webpage Creation,3,728000,manageable,4,80
KeyPen News Interview 1/10th,8,352000,manageable,7,20
Channel253 Interview 1/10th,20,487000,manageable,9,80
News Tribune Editorial Board,24,576000,manageable,4,80
Opioid Summit Webpage Update,3,95000,manageable,7,60
Will Stone Interview-KNKX,23,489000,manageable,8,15
Printed Newsletter,2,330000,heavy,2,10
NextGen Cards,10,499000,heavy,9,5
NextDen Webpage,15,383000,light,5,100
Update EI Form,9,708000,light,1,90
Strategic Alliance Presentation,18,798000,heavy,7,100
Career Event/Job Fair web landing page,6,559000,light,8,90
PIT Count Volunteer Certificates,10,964000,light,6,30
Pierce County job fair news release,11,913000,heavy,9,80
Pierce County Job Fair flyer,15,945000,manageable,8,50
ADRC Rack Card Update,21,298000,manageable,10,55
Minor Home Repair Rack Card Update,5,706000,manageable,6,80
PCHS Video Library,5,32000,light,10,15
5 Wishes,14,993000,manageable,5,20
Love to Ride campaign reminder,23,908000,light,1,15
Love to Ride Intro,22,70000,light,8,5
Jason Rantz,21,443000,manageable,4,100
ECEAP/Energy flyer,9,565000,manageable,5,15
ADR Video Library,15,20000,manageable,7,40
Feb 2020 LTC Providers agenda,22,978000,manageable,6,85
February 2020 ADRC Enews,23,821000,heavy,2,85
Retirement of Ross Vernieuwe,15,760000,heavy,9,35
Census Outreach,13,355000,heavy,9,20
School funding increases Pierce County property taxes,12,937000,light,10,90
Public invited to help design Pipeline Trail,2,253000,manageable,10,20
Retirement Connection ads,12,421000,heavy,8,30
Housing Resources for Older Adults Rack Card,13,766000,light,4,35
Public invited to help design Parkland Community Trail,3,21000,manageable,9,50
Volunteers for Colorful Cooking Made Easy,23,472000,light,2,40
First Aid/CPR classes,24,580000,light,6,25
Intranet Rights for David Blake (new employee),12,958000,manageable,5,65
First Aid/CPR classes,11,997000,heavy,4,15
Media Advisory: Election at a glance,21,788000,heavy,6,85
W-2 Documents,14,506000,heavy,3,85
Martin Luther King Jr. holiday closure,19,774000,light,9,25
E3/group participation flyer,23,410000,heavy,6,25
PCHS Homeless Action plan,9,196000,heavy,3,15
VRC logo,14,160000,light,7,80
OMG Now What Spring 2020,15,91000,heavy,2,60
Merry Christmas E-list,23,504000,light,7,85
Happy Holidays E-List,25,155000,manageable,5,75
One tenth of One Percent for Behavioral Health,15,117000,light,5,100
Purchase email addresses,11,996000,heavy,1,45
Volunteer for a board or commission e-list,23,59000,manageable,6,70
Behavioral Health Survey E-list,5,384000,heavy,4,30
Shatter Dreams e-list,10,228000,manageable,5,5
Instructor Cadre Recruitment Announcement,10,846000,light,2,50
Video Series Update and Posting,25,345000,light,10,45
State Legislature Appointment,16,608000,manageable,7,70
ISI West Coast Championships,19,214000,heavy,1,20
Nollmeyer Lane vehicle gate maintenance,18,199000,manageable,6,35
93 Volunteer Recognition Brunch certificates,25,529000,light,9,15
Letter to VRB nominators,10,615000,heavy,1,65
Letter to VRB winners,20,626000,light,5,15
Exec Proclamation: Grant �Smitty� Smith,17,749000,manageable,9,85
Decommissioned vehicles and heavy equipment to be auctioned,7,956000,light,6,10
Purchase Request Form,25,766000,manageable,5,100
PCHS Highlights for 2020 SOTC,25,293000,manageable,7,40
Veterans Window Poster,6,335000,light,3,5
Grand Cinema Ad,18,859000,heavy,6,25
Inclement weather policy,21,558000,manageable,9,75
Employee performance management available,22,486000,light,5,90
County Employee PRA & Records Management PowerPoint,7,30000,manageable,6,55
Debbie Young's retirement,3,862000,light,10,85
Pierce Trips News,24,193000,heavy,2,15
January Blog,6,291000,manageable,1,10
Winter ECEAP promo,16,995000,heavy,2,15
Talking with your Doctor,3,531000,heavy,8,70
Judge Hickman retirement,6,847000,heavy,8,30
Retirement of Peggy LovellFord,17,261000,heavy,9,95
Flag lowering to honor Deputy Cooper Dyson,25,104000,heavy,9,65
Performance Management spotlight on intranet,15,647000,heavy,7,70
2020 Employee required training webpage,8,297000,light,10,10
2020 PIT Count News Release,19,501000,heavy,5,5
Behavioral Health Website,15,267000,light,2,20
Sage Table - January 2020,17,851000,light,1,30
Planning Commission adds meetings on community plan updates,9,161000,light,9,10
Army vs Navy results,23,215000,heavy,7,15
Strategic Priorities/Accomplishments brochure,12,194000,manageable,2,5
2019 Year End Review Document,3,895000,manageable,10,45
Media advisory: Auditor seeks to appoint committee members for voters� pamphlet,21,191000,heavy,1,35
Employee required training webpage,25,553000,light,1,95
BTB Rack Cards,3,620000,light,4,55
Visitor Badges,23,665000,heavy,9,90
Army Navy Food Drive,23,91000,manageable,6,95
Feedback to Strategic Alliance Data Rollout,20,707000,light,7,85
Behavioral Health Survey Intro paragraph,5,417000,light,7,40
Affordable Housing Consortium Talking Points,12,467000,heavy,5,50
Broadband,19,940000,heavy,8,45
Lakebay Marina Media Relations,14,930000,light,3,30
Sample of newsletters print out,2,823000,light,7,10
NextGen logo and rollout strategy,16,52000,light,6,65
Biennial Budget Press Release,15,166000,heavy,8,25
Doug Richardson In-District,20,825000,heavy,9,20
Council Meeting Social media,5,819000,manageable,5,75
Media Relations for Jason Rantz Interview,12,262000,light,3,40
Doug Christmas Card,12,447000,light,2,10
I976 Accurate Information,16,401000,light,9,25
Social Media for Council meeting,20,283000,manageable,1,35
I-976 Media Relations at Council meeting,20,640000,manageable,8,45
IAM Local 297,17,597000,heavy,2,60
IAM Local 297 12/18 update,10,213000,manageable,2,50
IAM Local 297 12/4 & 12/9 updates,20,601000,manageable,2,45
PCHS Employee 2020 Winter Newsletter,3,138000,manageable,9,55
PEBB Updates image banner,9,465000,light,5,40
Milestone Rewards email,12,341000,heavy,3,30
Wheel Options email,10,613000,manageable,6,30
Susan Stowe's retirement,5,820000,manageable,6,15
December blog,13,56000,manageable,3,75
Reminder to nominate a volunteer for recognition by Dec. 16,15,353000,manageable,9,90
Superior Court invites you to Philip E. Thornton's swearing-in ceremony,5,639000,light,2,45
Budget Podcast,13,984000,manageable,10,60
Pierce County Parks and local hotels offer holiday staycation package,24,487000,heavy,3,15
You can now add the 2020 holidays to your Outlook Calendar,22,832000,heavy,3,70
Flag lowering in honor of Pearl Harbor Remembrance Day,10,109000,heavy,4,5
December poster,3,508000,light,2,65
Pierce County to continue mobile voting after successful military pilot,21,498000,heavy,9,85
Sheree Clark executive proclamation,18,201000,manageable,10,5
Tree lighting reminder,7,791000,heavy,8,50
IAM Local 297 11/18 update,10,242000,light,4,55
IAM Local 297 11/15 update,10,742000,light,4,80
25th annual Fantasy Lights drive-thru experience opens Nov. 28,23,70000,light,7,100
Mandatory Recount Press Release,13,279000,manageable,6,10
New Business Cards,18,917000,heavy,5,40
Engage Pierce County Photos,14,638000,light,7,60
Census Website Updates,13,917000,light,2,100
New Social Media Scheduling Tool,16,118000,heavy,9,60
Census Website Roster Edits,25,673000,light,6,25
Therapeutic Court Program 25th Anniversary Social Post,18,991000,light,2,80
Promote PPW Graphic & Web Designer Position on Social,3,782000,light,2,40
Licensing In-Service Day PPT and Videos,16,761000,manageable,8,10
Q3 Performance Measures for Social,2,216000,manageable,10,85
Convert Census Banners into Social Optimized Sizes,3,114000,heavy,2,35
Jurisdiction of the Year OurFamily/Press Release,24,61000,heavy,3,65
Animal Subagent Website Updates,7,772000,heavy,6,85
Media Advisory: Auditor schedules mandatory machine recounts,12,803000,manageable,1,25
Tacoma Pro Bono Night Award on Social,12,51000,manageable,10,15
Change Primary Language Text to actual Primary Language,5,113000,light,6,65
Content for Spec. Populations Census Webpages,3,907000,manageable,3,5
Add 15-minute Census Training Video to Website,6,425000,manageable,7,60
African American Census Banners,3,778000,heavy,9,35
Website RCW Addition,10,945000,light,1,25
In-Service Day Closure Communications,23,542000,heavy,4,35
ACAC Proclamation Post,8,162000,light,4,60
Schedule Fire Prevention Week Posts,21,963000,light,1,40
Military Benefits Brochure Updates,13,477000,manageable,8,65
Updated Business Cards,14,560000,heavy,3,95
POA Training Videos,9,358000,heavy,9,35
WACO Presentation,2,240000,heavy,6,5
Budget Book Cover Art Mockup,13,553000,light,2,15
Public Record Requests intranet page,22,524000,manageable,10,55
ADRC E-News December 2019,24,332000,light,7,85
ADR LTC Networking,6,852000,light,10,15
Upside Handbill,24,663000,heavy,6,20
Discount tickets to Sesame Street Live! Make your magic,9,793000,heavy,8,50
Payroll End of Year Reminders,19,31000,manageable,1,75
2-1-1 website update AND graphics,21,372000,light,10,85
End-of-year vacation carry forward reminder,5,309000,manageable,8,50
Pierce County to celebrate 10 newly expanded families on Adoption Day,24,733000,heavy,4,45
Annual tree lighting invite,15,621000,heavy,9,40
"Update PIT website, SM toolkit",24,551000,manageable,2,50
FCSP ads round 2,23,341000,heavy,6,80
Flag lowering,10,162000,heavy,6,10
Volunteer Recognition Brunch nomination reminder,17,476000,light,1,75
Retirement of Sheree Clark,25,596000,light,8,70
ECEAP video boost,23,386000,light,8,40
Construction work to occur through the weekend in the CCB,4,478000,manageable,6,15
Fantasy Lights Walk,4,148000,manageable,10,95
Holiday Ads,18,502000,light,7,65
Eatonville ECEAP event,12,221000,manageable,3,95
PIT Count Registration,24,965000,light,4,75
Veterans Day Blog,18,818000,heavy,9,40
Open Pierce County,16,580000,light,10,55
WA Teamsters & PEBB header and template,22,471000,light,4,45
Military service reporting/update Workday employee record (message #2),10,441000,light,1,5
November mobile blood drives,23,618000,manageable,2,10
UW Husky Men's Basketball discount,25,759000,heavy,10,60
Survey - flyers,7,293000,heavy,8,5
Eatonville open house,24,718000,heavy,2,65
Army vs. Navy message to employees,13,174000,heavy,6,30
Army vs. Navy flyer for directors,19,166000,light,6,30
Update Leadership Pyramid image,22,818000,manageable,7,100
New employee required training infographic,14,136000,manageable,2,95
Rainier Flow Chart,18,794000,heavy,10,55
Golden Given Road East and 104th Street East intersection to change to all-way stop in early November,6,459000,light,3,5
Driving Miss Daisy event,23,558000,heavy,4,55
Driving Miss Daisy - Images of Aging,3,471000,manageable,7,10
Passing of Bob Wagner,24,395000,manageable,4,85
Veterans Day events poster,18,803000,manageable,10,60
Call for Halloween costumes,14,678000,light,4,20
Volunteer Recognition call for nominations #1,2,588000,light,7,95
ADRC E-News November,20,861000,heavy,5,75
LTC meeting,2,703000,manageable,5,50
Workday military status update,6,616000,heavy,1,20
Active Shooter training flyer,18,188000,light,4,35
Active Shooter training available,24,749000,manageable,8,65
Pierce County road crews prepare for winter weather,24,896000,manageable,5,15
ADR PPT Presentation,16,469000,heavy,10,45
Special Meeting e-list notification,5,217000,heavy,5,70
Special meeting e-list,22,919000,heavy,3,5
Web and Graphic Designer Public Information Specialist Job Posting,13,146000,manageable,2,70
Meltwater Contract Dispute,24,586000,heavy,7,30
"Drainage District, KING 5",11,550000,manageable,5,45
Release on Human Services Special Meeting,3,376000,light,2,10
Release on District 2 Mtg,5,498000,heavy,3,60
WA Teamsters email template,22,469000,heavy,1,70
Strategic Alliance Book,11,565000,manageable,1,20
Budget Video Script,2,312000,heavy,7,40
Budget blog,16,239000,heavy,5,15
Email Correspondence to schedule Connie Videos,16,639000,manageable,5,75
Council Budget Schedule News Release,3,467000,heavy,3,15
"Discount tickets to Monster Jam Triple Threat Series, Jan. 10-12",2,970000,light,2,60
Unboxed or Boxed,12,858000,heavy,6,30
Post spring Office 365 Classes,2,258000,manageable,10,40
Renee Lomax Profile,8,455000,light,2,25
Web Admin Training,16,775000,light,3,20
NACO Award Submission,8,420000,light,6,25
2021 PIT results,2,688000,light,4,80
Update Communications Directory,18,158000,light,9,20
Website updates to FM home page,16,966000,heavy,5,50
ACAC social media posts,17,872000,light,8,25
PCHS Virtual Guide,23,626000,light,3,10
Retirement Connection,12,411000,manageable,5,100
2021 Rental Assistance flyers,25,25000,heavy,6,95
Stormwater Manual Update,22,131000,light,2,20
Stormwater Manual Update,11,601000,heavy,4,100
Stormwater Manual Update,19,616000,heavy,3,30
0-3 child notice form,25,973000,heavy,5,85
Sprinker Banner (Community Fund Match),5,878000,manageable,2,100
Landlord Postcard - RA21,3,335000,light,8,80
Retirement Announcement -Tony Bubenas,9,293000,manageable,3,80
Construction Division Website Updates,15,195000,heavy,8,40
PCHS presentation templates,10,238000,light,6,40
CivicSend - Grant Notification,4,953000,heavy,8,25
Our family - CCB Security,23,616000,light,6,5
Senior Scene Advertising,8,839000,heavy,5,35
Social Security Disability,20,609000,manageable,5,80
Recovery Story,12,234000,heavy,7,90
Caregiver Conference website set up,9,192000,manageable,1,75
LTC flyer update,14,802000,manageable,6,50
Dotting I's and Crossing T's event,23,307000,light,9,85
LTC networking - feb 2021,3,912000,heavy,10,85
ADRC E News - Feb 2021,23,273000,manageable,5,100
Website Overhaul - New COVID Updates,23,783000,heavy,4,10
Normal Aging vs. Dementia,4,998000,light,2,100
An Ounce of Prevention,6,509000,manageable,9,70
ADR Board Recruitment  - Ads,16,497000,manageable,8,45
List of Volunteer Award Categories,18,104000,heavy,9,80
Tyler Award Edits,12,15000,manageable,9,85
Community Think Tank Summary Event,12,491000,heavy,3,25
Supervisor Essentials fillable forms,18,342000,heavy,4,95
Update Salary Class Plan webpage,11,243000,light,10,45
LTCO website,4,485000,manageable,5,35
W-2's Available,3,112000,heavy,7,65
"CARES media report (earned, paid, social)",15,959000,manageable,8,100
Our Family - parking lot closures week of 1/19,3,434000,light,10,60
Tyler Award Submission,14,461000,light,1,75
NetMotion Announcement,11,845000,manageable,10,100
Homeless Programs webpage,24,198000,light,4,50
B25 Flyer - Tribal Membership,5,188000,light,8,5
John Humen Retirement Notice,8,98000,light,1,55
Fix Risk Manager link,10,50000,heavy,9,35
Our Family - CCB PA Test,3,982000,light,7,65
Energy Marketing Plan 2021,24,348000,light,7,80
Funerals - feb 2021,23,203000,manageable,2,15
Talking to your Doctor - Feb 2021,5,116000,light,8,60
Newsletter - PPP 2nd Round & WA Phase Roadmap,25,251000,manageable,2,40
Web Updates,7,59000,light,3,100
Veterans CARES survey,6,806000,heavy,3,15
Create new security training page,17,421000,manageable,5,55
Update/create required courses interactive graphic,12,354000,heavy,3,80
Bates Apprenticeship Appreciation Day,17,386000,manageable,8,45
Website Updates - Removing Ed Casey,15,871000,heavy,3,85
Grant Notification,7,564000,manageable,9,5
Microsoft Edge Announcement,6,494000,heavy,4,80
One Pager - Sprinker Outdoor Updates,18,857000,manageable,7,100
Our Family - Final Call Volunteer Nominations,10,690000,manageable,1,5
Sewer inserts,12,34000,heavy,10,15
ADRC e-news/ALTC agenda,14,523000,manageable,5,45
2021 Winter Employee Newsletter,23,826000,light,1,70
Press Release - No Sun Fun Run,13,154000,manageable,4,55
First Floor CCB Closing to Public Notification,21,15000,heavy,7,100
GIS Training Calendar Update,13,934000,light,8,80
Update O365 Training Calendar for 2021,11,600000,heavy,1,85
Our Family Reminder - Volunteer Recognition Nominations,18,934000,heavy,6,10
Update ADRC subscriber lists,6,90000,manageable,7,35
2021 Anti-Human Trafficking Campaign,18,108000,manageable,9,80
Tuition reimbursement webpage,8,159000,heavy,1,45
New Employee Information webpage,12,506000,light,6,35
Sustainability survey reminder,23,159000,manageable,7,65
CARES advertising for ERP,16,384000,light,9,60
New employee welcome email template,12,277000,light,2,25
Updated Onboarding Checklist,17,83000,light,1,20
HR Design Guide,25,550000,heavy,4,5
Our Family - AAF 2021 roundup,3,131000,manageable,9,50
12/16 Fire Alarm Test Announcement,7,625000,manageable,1,40
Pierce County COVID Testing Station opens to meet community need,16,892000,heavy,8,85
FCSP bus ads (part 2),18,620000,heavy,7,10
Orangegate Park Survey Press Release & Social Campaign,24,314000,light,7,40
Annual ADR survey,25,771000,light,8,95
,18,529000,light,4,75
Quick reference benefits header,8,403000,heavy,3,75
Employee Learning Week top leaners,2,43000,light,4,65
Meridian Crossings,4,376000,manageable,8,35
United Way campaign,14,680000,heavy,5,10
Talent Show,23,69000,manageable,7,90
5th Floor Renovations/Courtrooms Project,19,459000,manageable,6,55
Employee Learning Week #2,14,166000,light,3,90
Telework outreach,17,634000,manageable,4,90
HR Style guide,3,986000,manageable,2,60
2020 Volunteer Recognition Awards,9,237000,manageable,9,25
CARES program closures / changes,19,184000,heavy,5,45
Parks Citizens Advisory Board Position Promotion,23,128000,light,2,10
2021 recruitment video,19,269000,heavy,4,30
BRT live-streaming meeting,25,716000,heavy,5,25
Ombudsman Recruitment - social media,2,894000,heavy,4,80
Nov. Blog,18,265000,manageable,9,5
Remote Worker Training Video,21,240000,heavy,1,5
ADR Advisory Board flyer,14,891000,manageable,7,45
2020 Social Media analytics,23,455000,heavy,3,50
Employee Learning Week,7,233000,light,6,90
TPCHD Directory Update and Announcement,20,615000,manageable,7,75
ADRC E-news Dec. 2020,8,108000,heavy,2,45
Special meeting e-list,21,434000,light,6,70
Aging & LTC - Dec 2020,2,685000,light,9,25
How To Spoil Your Retirement,21,366000,light,9,5
Elf Exploration Our Family Announcement,18,747000,heavy,10,60
Retirement of Bob Cady,9,243000,manageable,4,25
Form: Plain Talk,7,513000,manageable,4,40
Press release: updated Parks COVID restrictions,13,15000,manageable,3,70
Fantasy Lights video (energy ad),25,277000,manageable,4,85
CARES Program Websites,19,24000,light,2,95
Button UI Design Help,14,43000,manageable,6,95
Obtain W-2  through Self Service in Workday,3,281000,heavy,6,100
Form: Leading the Individual independent learning,4,773000,heavy,5,65
Fantasy Lights Our Family Announcement,12,423000,manageable,6,60
2021 County calendars now available,23,267000,manageable,2,35
End-of-year vacation carry forward reminder,10,949000,light,3,45
Form: Leading the individual strategy worksheet,24,94000,manageable,6,10
Post DEI lunch & learn survey,12,324000,heavy,6,35
DEI Report,14,356000,heavy,9,35
Jon Hawkes retirement,7,399000,light,4,50
Take a Hike Day Promotion,20,981000,manageable,8,90
Fantasy Lights Press Release,5,885000,manageable,2,80
Assessments on social campaigns,16,963000,manageable,3,85
Add redirect for Officer Subpoena Page,25,881000,manageable,8,15
Veterans Day Gallery,17,452000,manageable,4,65
Options: Event,11,996000,heavy,4,55
Home Repair bid webpage,2,738000,manageable,2,30
Conversations at the Holidays Event,22,960000,heavy,4,65
Conservations Futures' Advisory Board Applications - Round 2,18,415000,heavy,1,35
Investigate photo issue for Want Ads,22,233000,manageable,2,100
TFOR diagram,11,296000,heavy,8,55
Review old web team requests,19,591000,light,8,60
Winter farmers market,5,62000,heavy,1,30
Peach Jar - winter flyer,16,846000,manageable,10,50
October Blog,7,494000,manageable,7,15
Extra-Hire maintenance job opportunity with Parks and Recreation,10,494000,heavy,8,70
Community Think Tanks,4,854000,heavy,2,85
RPAS Page Updates,25,388000,heavy,3,25
Halloween,10,306000,manageable,8,90
"Restaurant Rally, various announcement coordination & editing",11,940000,light,4,10
Real properties for sale web update,21,612000,light,4,50
CARES program updates - web,7,876000,heavy,10,35
Our Family - New Custodial Contract Begins,14,994000,light,8,50
LTC meeting + E-News Nov 2020,8,452000,light,6,5
Outdoor siren warning system updated to help communities respond to emergencies,12,979000,light,6,100
Lunch & Learn: DEI,19,403000,heavy,3,5
Standing Ovation Video Promotions,12,569000,light,2,5
Workday HR Video Update,7,290000,heavy,4,15
Pierce Trips News,11,886000,heavy,8,60
Standing Ovation Awards video posts,9,234000,light,8,5
Mobility Survey for residents,2,970000,heavy,3,60
Army vs. Navy food drive challenge campaign,23,196000,light,3,65
Post EI&R event message,17,877000,manageable,4,10
MRC News Release,24,462000,manageable,4,65
SSHAP website,10,20000,light,9,40
KBTC ads,10,154000,light,6,35
Joint Press Release - Young Adult Internship Program,16,955000,heavy,4,5
COVID Financial Resources Page Update,15,195000,heavy,8,15
Press Release - Meet Me in the Park,18,62000,heavy,1,70
PEBB Open Enrollment reminder,8,933000,light,10,35
DEI website redesign,4,63000,heavy,3,85
Automated online Lenel badge scheduler components,22,763000,light,3,50
Great ShakeOUT selfie contest winners,12,850000,light,7,90
"Spread love, not the flu release",17,339000,heavy,2,50
Community Development Think Tank event,17,247000,manageable,9,15
Family Caregiver Month,7,811000,heavy,3,25
EI&R virtual employee event reminder,25,744000,heavy,10,70
Social Security Benefits,25,698000,heavy,9,65
Mentorship program project,6,679000,light,10,45
Cindi Hickman retirement announcement,4,756000,heavy,1,70
Website Updates - CARES Programs & Info,13,863000,manageable,8,15
Our Family - New Parking Management LAZ,9,471000,manageable,10,20
Human Trafficking 2020-2021,16,560000,heavy,3,10
AAF Our Family,4,897000,light,9,75
Pierce County Nourish,17,488000,manageable,7,60
HR Website Updates,6,749000,heavy,9,55
Moving Parents Home,14,891000,manageable,6,5
Alzheimer's and Driving,3,718000,light,9,30
SS Benefits 2021,19,611000,heavy,9,20
Required state commute survey,11,371000,light,5,70
"Drop, cover and hold on for the ShakeOut drill",7,671000,manageable,3,25
EVENT TIME CHANGE: See you online Oct. 21 at 6 p.m. for our employee event,17,646000,heavy,4,65
CARES video coordination - Parks programming,11,366000,heavy,10,75
Press Release - Cross Park,11,687000,manageable,5,5
Great ShakeOut message,15,344000,light,9,75
HR Learning Admin training ppt,20,698000,heavy,9,70
B25 Positions Press Release,11,741000,manageable,10,45
MRC Webpage,6,383000,heavy,3,90
Vacation carryover message,4,17000,light,2,20
Press Release - Woof Woof Walk,7,438000,light,9,45
AAF Survey,21,850000,light,3,70
Microsoft Stream Migration,18,403000,manageable,9,50
